,node_size,ordering_heuristic,evidence_size,evidence_type,iterations,time_taken
396,12,min_fill,11,Maximum Evidence,6,0.17229986190795898
397,12,min_fill,11,Maximum Evidence,7,0.16605305671691895
398,12,min_fill,11,Maximum Evidence,8,0.16202831268310547
399,12,min_fill,11,Maximum Evidence,9,0.16948914527893066
400,12,random,1,Lowest Evidence,0,0.1678011417388916
401,12,random,1,Lowest Evidence,1,0.16411614418029785
402,12,random,1,Lowest Evidence,2,0.16600608825683594
403,12,random,1,Lowest Evidence,3,0.17988085746765137
404,12,random,1,Lowest Evidence,4,0.1675584316253662
405,12,random,1,Lowest Evidence,5,0.16080379486083984
406,12,random,1,Lowest Evidence,6,0.1677403450012207
407,12,random,1,Lowest Evidence,7,0.16423583030700684
408,12,random,1,Lowest Evidence,8,0.16355490684509277
409,12,random,1,Lowest Evidence,9,0.16318464279174805
410,12,random,3,25% Evidence,0,0.1682755947113037
411,12,random,3,25% Evidence,1,0.15864348411560059
412,12,random,3,25% Evidence,2,0.16348624229431152
413,12,random,3,25% Evidence,3,0.16278553009033203
414,12,random,3,25% Evidence,4,0.1680612564086914
415,12,random,3,25% Evidence,5,0.17288851737976074
416,12,random,3,25% Evidence,6,0.1551966667175293
417,12,random,3,25% Evidence,7,0.17526817321777344
418,12,random,3,25% Evidence,8,0.16062474250793457
419,12,random,3,25% Evidence,9,0.16136527061462402
420,12,random,6,50% Evidence,0,0.15782546997070312
421,12,random,6,50% Evidence,1,0.1566755771636963
422,12,random,6,50% Evidence,2,0.14313530921936035
423,12,random,6,50% Evidence,3,0.15988945960998535
424,12,random,6,50% Evidence,4,0.1705935001373291
425,12,random,6,50% Evidence,5,0.1519160270690918
426,12,random,6,50% Evidence,6,0.17182135581970215
427,12,random,6,50% Evidence,7,0.1730492115020752
428,12,random,6,50% Evidence,8,0.16371870040893555
429,12,random,6,50% Evidence,9,0.1670072078704834
430,12,random,9,75% Evidence,0,0.16051602363586426
431,12,random,9,75% Evidence,1,0.16108250617980957
432,12,random,9,75% Evidence,2,0.16137433052062988
433,12,random,9,75% Evidence,3,0.1565694808959961
434,12,random,9,75% Evidence,4,0.16141319274902344
435,12,random,9,75% Evidence,5,0.16419339179992676
436,12,random,9,75% Evidence,6,0.1548318862915039
437,12,random,9,75% Evidence,7,0.171844482421875
438,12,random,9,75% Evidence,8,0.17523622512817383
439,12,random,9,75% Evidence,9,0.16515636444091797
440,12,random,11,Maximum Evidence,0,0.16655516624450684
441,12,random,11,Maximum Evidence,1,0.15070390701293945
442,12,random,11,Maximum Evidence,2,0.16710710525512695
443,12,random,11,Maximum Evidence,3,0.16669607162475586
444,12,random,11,Maximum Evidence,4,0.17067933082580566
445,12,random,11,Maximum Evidence,5,0.15640854835510254
446,12,random,11,Maximum Evidence,6,0.18308138847351074
447,12,random,11,Maximum Evidence,7,0.17891407012939453
448,12,random,11,Maximum Evidence,8,0.15544581413269043
449,12,random,11,Maximum Evidence,9,0.1661086082458496
450,13,min_degree,1,Lowest Evidence,0,0.18565821647644043
451,13,min_degree,1,Lowest Evidence,1,0.19009709358215332
452,13,min_degree,1,Lowest Evidence,2,0.18595051765441895
453,13,min_degree,1,Lowest Evidence,3,0.1855921745300293
454,13,min_degree,1,Lowest Evidence,4,0.19125866889953613
455,13,min_degree,1,Lowest Evidence,5,0.19634366035461426
456,13,min_degree,1,Lowest Evidence,6,0.19540190696716309
457,13,min_degree,1,Lowest Evidence,7,0.19712066650390625
458,13,min_degree,1,Lowest Evidence,8,0.18798518180847168
459,13,min_degree,1,Lowest Evidence,9,0.18593335151672363
460,13,min_degree,3,25% Evidence,0,0.1834726333618164
461,13,min_degree,3,25% Evidence,1,0.18537259101867676
462,13,min_degree,3,25% Evidence,2,0.18440461158752441
463,13,min_degree,3,25% Evidence,3,0.1912086009979248
464,13,min_degree,3,25% Evidence,4,0.19088530540466309
465,13,min_degree,3,25% Evidence,5,0.1941385269165039
466,13,min_degree,3,25% Evidence,6,0.19349050521850586
467,13,min_degree,3,25% Evidence,7,0.18550848960876465
468,13,min_degree,3,25% Evidence,8,0.18667817115783691
469,13,min_degree,3,25% Evidence,9,0.1879875659942627
470,13,min_degree,6,50% Evidence,0,0.18537640571594238
471,13,min_degree,6,50% Evidence,1,0.1830611228942871
472,13,min_degree,6,50% Evidence,2,0.19091367721557617
473,13,min_degree,6,50% Evidence,3,0.1934833526611328
474,13,min_degree,6,50% Evidence,4,0.19083309173583984
475,13,min_degree,6,50% Evidence,5,0.18810129165649414
476,13,min_degree,6,50% Evidence,6,0.18586039543151855
477,13,min_degree,6,50% Evidence,7,0.18438959121704102
478,13,min_degree,6,50% Evidence,8,0.18455052375793457
479,13,min_degree,6,50% Evidence,9,0.18533778190612793
